,v1clusters,v1recall,v1precision,v1f_score,v2clusters,v2recall,v2precision,v2f_score,Louvain results path,n
0,2,0.5454545454545454,1.0,0.7058823529411764,3,0.3333333333333333,0.36666666666666664,0.3492063492063492,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2700/2021_2_5_17_8_5\Louvain_4,3
1,4,0.3865979381443299,0.5172413793103449,0.44247787610619466,4,0.248868778280543,0.3793103448275862,0.3005464480874317,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1128/2021_2_5_17_19_49\Louvain_4,6
2,2,0.7083333333333334,0.9622641509433962,0.816,2,0.7083333333333334,0.9622641509433962,0.816,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3610/2021_2_5_17_19_58\Louvain_4,3
3,5,0.625,0.5263157894736842,0.5714285714285714,4,0.25882352941176473,0.2894736842105263,0.2732919254658386,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2254/2021_2_5_17_20_6\Louvain_4,4
4,6,0.32857142857142857,0.32857142857142857,0.32857142857142857,1,0.16091954022988506,1.0,0.2772277227722772,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4079/2021_2_5_17_20_26\Louvain_4,7
5,9,0.294478527607362,0.2742857142857143,0.28402366863905326,4,0.14453781512605043,0.49142857142857144,0.22337662337662337,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4175/2021_2_5_17_20_48\Louvain_4,8
6,5,0.9053356282271945,0.7690058479532164,0.8316205533596839,4,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4963/2021_2_5_17_22_46\Louvain_4,4
7,7,0.3629032258064516,0.3543307086614173,0.35856573705179284,5,0.14285714285714285,0.20866141732283464,0.16959999999999997,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2584/2021_2_5_17_23_16\Louvain_4,8
8,4,0.6642335766423357,0.91,0.7679324894514769,3,0.5847953216374269,1.0,0.7380073800738007,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3078/2021_2_5_17_23_23\Louvain_4,5
9,5,1.0,1.0,1.0,4,0.6146788990825688,1.0,0.7613636363636362,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3868/2021_2_5_17_23_30\Louvain_4,5
10,2,0.4725274725274725,1.0,0.6417910447761194,3,0.7413793103448276,1.0,0.8514851485148515,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2935/2021_2_5_17_23_33\Louvain_4,4
11,5,0.6571428571428571,0.2169811320754717,0.3262411347517731,2,0.7333333333333333,0.6226415094339622,0.673469387755102,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1203/2021_2_5_17_23_34\Louvain_4,2
12,7,0.8678414096916299,0.9380952380952381,0.9016018306636155,6,0.5213358070500927,0.669047619047619,0.5860271115745569,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4644/2021_2_5_17_24_24\Louvain_4,8
13,6,0.434878587196468,0.6840277777777778,0.5317139001349528,4,0.13137557959814528,0.2951388888888889,0.1818181818181818,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2833/2021_2_5_17_25_32\Louvain_4,8
