,v1clusters,v1recall,v1precision,v1f_score,v2clusters,v2recall,v2precision,v2f_score,Louvain results path,n
0,2,0.4897959183673469,0.8,0.6075949367088609,2,0.26229508196721313,0.5333333333333333,0.3516483516483517,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2700/2021_2_5_17_8_5\Louvain_3,3
1,3,0.32413793103448274,0.6482758620689655,0.43218390804597695,4,0.2579185520361991,0.3931034482758621,0.3114754098360656,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1128/2021_2_5_17_19_49\Louvain_3,6
2,2,0.7083333333333334,0.9622641509433962,0.816,2,0.7083333333333334,0.9622641509433962,0.816,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3610/2021_2_5_17_19_58\Louvain_3,3
3,5,0.7543859649122807,0.5657894736842105,0.6466165413533834,3,0.3090909090909091,0.4473684210526316,0.3655913978494624,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2254/2021_2_5_17_20_6\Louvain_3,4
4,5,0.3625,0.4142857142857143,0.38666666666666666,1,0.16091954022988506,1.0,0.2772277227722772,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4079/2021_2_5_17_20_26\Louvain_3,7
5,7,0.16145833333333334,0.17714285714285713,0.16893732970027248,4,0.15625,0.4,0.2247191011235955,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4175/2021_2_5_17_20_48\Louvain_3,8
6,5,0.9053356282271945,0.7690058479532164,0.8316205533596839,4,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4963/2021_2_5_17_22_46\Louvain_3,4
7,6,0.4416961130742049,0.4921259842519685,0.46554934823091243,4,0.1252847380410023,0.21653543307086615,0.15873015873015872,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2584/2021_2_5_17_23_16\Louvain_3,8
8,4,0.6642335766423357,0.91,0.7679324894514769,3,0.5847953216374269,1.0,0.7380073800738007,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3078/2021_2_5_17_23_23\Louvain_3,5
9,5,1.0,1.0,1.0,4,0.6146788990825688,1.0,0.7613636363636362,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3868/2021_2_5_17_23_30\Louvain_3,5
10,2,0.4725274725274725,1.0,0.6417910447761194,3,0.7413793103448276,1.0,0.8514851485148515,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2935/2021_2_5_17_23_33\Louvain_3,4
